customer_id,first_name,last_name,email,phone,address,city,state,country,zip_code,registration_date,customer_segment,acquisition_channel
C000019,Lisa,Martinez,josephzimmerman@example.net,348.937.7152x1498,"8453 Coleman Bridge, Lake Marystad, VI 69410",South Jonathan,Arkansas,Greece,63297,2023-12-23,Standard,Organic
C000020,Billy,Brown,dbutler@example.org,764.581.2811x58469,"7748 Kimberly Circles, Jeffreyberg, CO 03407",Cannonland,New York,Cayman Islands,34919,2023-09-10,Premium,Email
C000021,Karen,Ward,krystal51@example.com,299.200.2117,"USCGC Chavez, FPO AA 31003",New Heatherton,California,Reunion,11204,2024-08-30,Premium,Social Media
C000022,Patricia,Martinez,kimberlyhall@example.com,322.284.9151x9309,"94718 Michelle Mountain, New Joeborough, GA 93312",South Bethanyside,South Dakota,Benin,91703,2025-03-21,Standard,Referral
C000023,Sharon,Davis,kenneth62@example.net,493-443-3140,"5509 Church Harbors, Lake Wesley, NY 81946",Byrdland,Florida,Philippines,86607,2025-07-04,Standard,Organic
C000024,Rebecca,Tyler,athomas@example.com,+1-767-884-4717x48015,"48657 Larry Walks, Williamfurt, AS 51765",South Andrewburgh,Missouri,Thailand,15210,2025-07-08,Basic,Email
C000025,Brandi,Wilson,rebecca41@example.org,(938)648-4195x94161,"1763 Paula Walk, West Laura, UT 87633",South Douglasville,Mississippi,Syrian Arab Republic,84644,2025-04-13,Basic,Organic
C000026,Kelly,Perry,angela49@example.org,(492)609-9928x90404,"655 Shaw Union, Lindaton, NY 14272",East Thomas,Vermont,Egypt,59707,2024-06-21,Standard,Organic
C000027,Judy,Carter,williamrobinson@example.com,5414963897,"78069 Johnson Centers Suite 199, Jonathanshire, OR 97415",New Jason,Maine,Dominican Republic,18626,2024-10-11,Basic,Social Media
C000028,Dana,Wheeler,poncejohn@example.com,+1-824-696-6582x582,"343 Bobby Ranch Suite 820, Kylemouth, WA 79373",Romeroburgh,New York,Singapore,00652,2025-03-24,Basic,Referral
C000029,Anthony,Webb,charlesgallagher@example.org,6006280128,"5592 Olivia Turnpike Suite 072, Michaelview, GA 97558",East Destinyfurt,Connecticut,New Zealand,94497,2024-04-30,Standard,Referral
C000030,Andrew,Leach,westdavid@example.org,+1-248-461-7055x18041,"878 Nicole Isle Suite 303, South Gabrielstad, AK 18486",Clarkhaven,North Carolina,Albania,56527,2023-10-06,Premium,Organic
C000031,Bonnie,Walker,rodney90@example.com,566-995-3939,"8095 Ronald Locks Apt. 030, East Lisa, NV 19781",Diazberg,Connecticut,Latvia,09550,2023-08-14,Premium,Paid Search
C000032,Devin,Young,thompsondeanna@example.com,001-982-706-0863x6808,"771 Kennedy Extension, Bradleystad, SD 56894",Reyesberg,Ohio,Haiti,35097,2024-09-10,Standard,Organic
C000033,Drew,Sparks,wlee@example.com,(572)885-6835x100,"05081 Moore Ranch, Port Williamside, MH 61041",Carrollfurt,Minnesota,Mauritius,74651,2024-09-15,Premium,Organic
C000034,Troy,Coleman,velezjoseph@example.net,001-313-809-2089x177,"83037 Gonzalez Mount, Howardburgh, OK 78481",South Jamesville,Michigan,Guinea-Bissau,35660,2024-02-07,Standard,Social Media
C000035,Corey,Carpenter,justinthompson@example.com,253-262-4272,"135 Li Loaf Suite 623, Eatonland, VA 49763",Baileyport,Arizona,Japan,98370,2025-02-28,Standard,Social Media
C000036,Megan,Freeman,rswanson@example.net,427.225.4713,"010 Morgan Motorway Suite 174, Richardhaven, AZ 55191",South Debra,Missouri,Iran,75029,2025-03-12,Premium,Social Media
C000037,Eric,Davis,zlynch@example.com,001-351-862-3132,"PSC 4651, Box 9914, APO AP 63248",South Bobbybury,Wisconsin,Bulgaria,09318,2025-05-16,Standard,Paid Search
C000038,Paul,Gonzalez,christinehenry@example.net,203-759-4733,"2398 Chapman Orchard, Port Cherylchester, WA 13137",South Adrian,Illinois,Isle of Man,93078,2023-11-12,Basic,Social Media
C000039,Tyler,Richardson,jerryconrad@example.com,001-574-789-2768,"1738 Moore Dam, South Virginia, AK 18088",Ashleyland,New Jersey,Bosnia and Herzegovina,26529,2025-07-11,Basic,Organic
C000040,Lori,Pittman,operez@example.com,812-379-3059,"171 Frost Streets Suite 031, North Shawna, MS 10713",Port Evanland,Delaware,Thailand,94920,2024-04-14,Basic,Paid Search
C000041,Jessica,Marshall,xhamilton@example.com,+1-292-965-3219x146,"7860 Kelsey Knolls, Lake Lisa, KS 97590",East Mirandashire,North Dakota,United Kingdom,54751,2025-05-26,Basic,Paid Search
C000042,Mackenzie,Jones,bradfordrebecca@example.net,(710)719-2523,"98906 Walter Ferry, Carlport, HI 73292",North Michael,Wyoming,Central African Republic,74800,2024-10-19,Premium,Email
C000043,Jeff,Turner,cthompson@example.org,001-227-281-1232,"87296 Jacqueline Gardens, South Christopherton, FM 60771",Codyshire,South Dakota,Swaziland,11900,2025-07-18,Standard,Social Media
C000044,Carly,Yang,franciscogarner@example.com,933.901.3067,"1784 David Summit, Port Brianshire, NE 84423",East Ronald,South Carolina,Hungary,36513,2025-03-13,Basic,Referral
C000045,Carlos,Hansen,trancurtis@example.net,535-796-4008,"8771 Walls Islands, Ryanton, TN 41899",Amandaton,Wisconsin,Spain,76522,2024-06-30,Premium,Social Media
C000046,Allen,Saunders,ryanmitchell@example.org,+1-209-744-6293x8987,"758 Adam Mission, Lake Georgemouth, HI 54589",West Philipland,Mississippi,Eritrea,80367,2025-05-20,Premium,Paid Search
C000047,Heather,Wilson,kyleharris@example.net,678.233.6452x259,"6675 Boyd View Apt. 723, North Andrea, MD 50154",Charlesmouth,Massachusetts,Senegal,34940,2025-05-09,Premium,Social Media
C000048,Erin,Haynes,heatherallen@example.org,946-697-4701x718,"Unit 4719 Box 5124, DPO AE 16308",Port Eric,Missouri,French Polynesia,12268,2025-02-01,Standard,Social Media
C000049,Jeffery,Bender,tgonzalez@example.net,001-461-832-0658x42758,"93456 Lee Village Suite 454, Vincentstad, NV 64990",West Sally,Alabama,Falkland Islands (Malvinas),33608,2024-07-04,Premium,Paid Search
C000050,Tina,Frost,nancy54@example.com,+1-980-735-4509x868,"145 Anderson Mission, Stewartton, GA 81499",Jacksonberg,New York,British Indian Ocean Territory (Chagos Archipelago),69930,2025-05-12,Basic,Social Media
C000051,Michael,Ross,psmith@example.com,001-684-820-7326x054,"3274 Terrence Ways Apt. 495, Lake Mathewshire, CO 73233",Hoganport,Nevada,Sri Lanka,20086,2024-05-03,Premium,Email
C000052,Barbara,Braun,tiffanylittle@example.com,2084197861,"00770 Michael Turnpike Apt. 245, New Ianton, AZ 69211",Rodriguezchester,Wisconsin,Cook Islands,98089,2024-02-01,Standard,Email
C000053,Charles,Nguyen,williamspatricia@example.com,367.953.5613,"510 Ruben Lodge, Hallstad, WV 93947",Christopherborough,North Carolina,Cuba,92447,2025-06-11,Premium,Social Media
C000054,Kevin,Conrad,johnpadilla@example.org,(370)596-5119x166,"Unit 7440 Box 8088, DPO AE 48497",Smithhaven,Massachusetts,Belize,30674,2024-01-23,Premium,Paid Search
C000055,Kelly,Edwards,lisa52@example.com,001-465-921-2752x657,"0186 King Mill Suite 681, East Leahport, DE 34937",Port Paul,Delaware,Cayman Islands,97298,2025-02-05,Basic,Referral
C000056,Christopher,Doyle,janet62@example.org,838.511.5585x7882,"44179 Curtis Trail Suite 840, New Thomas, FL 24279",Lake Michael,Montana,Equatorial Guinea,16304,2025-06-18,Basic,Social Media
C000057,Tami,Smith,lambertanita@example.com,+1-836-708-3668x1771,"097 Donna Field, Mariaberg, KS 85869",Whiteland,Massachusetts,Belarus,46472,2025-03-13,Basic,Referral
C000058,Dustin,Marshall,carlosjones@example.com,+1-953-247-7603x500,"731 Peterson Drive, Lorettashire, AR 33523",West Tina,Oregon,Colombia,32331,2024-04-19,Standard,Referral
C000059,Steven,Davis,stevensonsharon@example.org,(442)392-4268,"USS Moran, FPO AP 64281",Smithtown,North Dakota,Georgia,55199,2024-02-02,Standard,Social Media
C000060,Kathleen,Barrera,freemanapril@example.org,+1-682-981-4801x2846,"472 Day Curve, Schmittfurt, AL 98412",Lake Kelly,Maine,Argentina,78051,2024-04-14,Premium,Paid Search
C000061,Kayla,Johnson,amandajohns@example.org,9384134195,"7832 Martinez Unions Suite 478, West Grantmouth, MA 35614",South Erinbury,California,North Macedonia,88086,2024-05-01,Basic,Email
C000062,April,Smith,bmartinez@example.com,(440)814-9026x9179,"8628 Stephens Roads Apt. 375, Port William, IL 70600",Keithville,North Carolina,Guinea-Bissau,66841,2023-09-01,Premium,Organic
C000063,Victor,Cooley,fitzgeraldcody@example.com,270.960.4320,"392 Jones Via, Kimberlyshire, UT 41820",Kingshire,Massachusetts,Timor-Leste,35808,2025-01-30,Premium,Paid Search
C000064,Emily,White,carolbarnes@example.com,309.235.6012x6935,"0755 Chavez Drives Suite 003, Martinchester, FM 04757",South Josephton,Maryland,Tajikistan,43694,2024-02-02,Basic,Paid Search
C000065,Elizabeth,Turner,tracyrobinson@example.org,430-516-6574x9972,"Unit 6578 Box 7431, DPO AP 72783",West Amber,Wyoming,Iraq,08942,2025-04-01,Basic,Email
C000066,Vanessa,French,ddavis@example.org,978.953.4311x51692,"68934 Gonzalez Passage Suite 570, Lake Jimmystad, MD 59147",New Valerieview,Iowa,Jamaica,84045,2025-05-02,Basic,Organic
C000067,Andrea,Wright,jerrylee@example.net,(715)710-3920,"438 Julia Prairie, Garrettton, MH 22926",New Theresa,Colorado,Slovenia,69050,2024-02-08,Standard,Email
C000068,Thomas,Reyes,kimconley@example.org,706-532-2118x6715,"Unit 0693 Box 0430, DPO AE 74061",Garrettport,Idaho,Sao Tome and Principe,63616,2024-04-04,Basic,Email
C000069,Nina,Thomas,chenhenry@example.net,233.349.4299x607,"89836 Karen Ports, Cameronburgh, OK 95899",Lynchport,Arizona,Gambia,06303,2024-01-18,Basic,Social Media
C000070,Patrick,Mills,david51@example.org,7716369308,"7610 Murphy Curve, Juliaside, OH 80313",Jakemouth,Florida,Kenya,61963,2025-07-25,Basic,Organic
C000071,Peter,Lambert,georgedaniels@example.net,415.880.4640x29452,"Unit 6667 Box 2689, DPO AE 41952",Elizabethton,Maryland,Tonga,81482,2025-02-03,Basic,Organic
C000072,Dillon,Cole,lewiskathryn@example.com,001-771-938-2408x864,"9384 Price Loaf Apt. 779, Gregorytown, PA 71837",North Dianeport,Texas,Cameroon,27988,2023-10-26,Basic,Referral
C000073,Shannon,Bright,alowe@example.net,+1-846-529-3175x3230,"PSC 7711, Box 9007, APO AA 57268",Port Anthonyside,Nebraska,Saint Martin,93458,2024-03-28,Standard,Social Media
C000074,Allison,Mckay,brian28@example.org,316-665-1739,"742 Jenna Meadows, Wilsonmouth, WY 19466",Turnerton,South Carolina,South Georgia and the South Sandwich Islands,02380,2025-04-10,Premium,Social Media
C000075,Jesus,Wells,lryan@example.org,230-521-0824x23416,"7497 Diaz Spurs, Valenzuelamouth, NC 31538",Richardsonborough,Maine,Bolivia,33139,2024-12-29,Standard,Paid Search
C000076,Mark,Hudson,kelly43@example.com,986.799.6076x546,"2410 Spencer Hill, North Andrewfurt, MO 01573",Rachelville,Louisiana,Yemen,17633,2024-09-15,Standard,Organic
C000077,Kelly,Snyder,tchase@example.com,001-609-958-8238,"4311 Thomas Isle Apt. 593, West Tiffanybury, CT 62037",Lake Valerieport,Florida,Angola,05260,2025-07-31,Basic,Social Media
C000078,Jared,Garcia,michellebrown@example.com,+1-840-668-7873x451,"0718 Burnett Stream, Travisshire, OR 23808",Jeremiahbury,Oklahoma,Nauru,73445,2023-11-25,Basic,Paid Search
C000079,Richard,Jones,michael46@example.com,+1-556-845-1735x790,"748 Clayton Parks, South Dale, PA 25536",Jacobsburgh,Montana,Samoa,72129,2024-04-12,Basic,Organic
C000080,Tracy,Davis,wwilliams@example.org,(683)792-1947,"62034 Joseph Vista, Theodorefurt, SD 61199",Port Marco,Delaware,Indonesia,08476,2023-09-14,Basic,Social Media
C000081,Heather,Wilson,patricia08@example.org,941.845.1733x890,"233 Jones Tunnel, Lake Kathleen, AK 60818",North Tiffanystad,North Carolina,Kuwait,08861,2023-08-14,Basic,Referral
C000082,Anthony,Cherry,watkinsmary@example.org,854-929-8450x50884,"86090 David Falls Apt. 359, South Douglas, DE 57158",South Deanfort,Nebraska,Mongolia,82726,2023-09-09,Basic,Paid Search
C000083,Kristen,Patel,calderonjennifer@example.org,(636)480-4562x94427,"8775 Hill Port Suite 231, Smithton, RI 58557",Lake Justinmouth,Arizona,El Salvador,38734,2023-12-04,Premium,Social Media
C000084,David,Ferguson,benitezfrederick@example.org,001-772-221-0725,"995 Parks Road, Port Amy, PR 01921",South Lisachester,Michigan,Afghanistan,30764,2024-08-21,Premium,Referral
C000085,Susan,Martin,aryan@example.org,233-442-4624,"945 Dawn Lakes, Chenborough, DC 18369",East Joemouth,Vermont,Grenada,83146,2025-01-21,Basic,Organic
C000086,Rickey,Horton,julian85@example.com,+1-231-391-4623x7484,"56617 Teresa Knoll, Port Melissa, ND 05196",North Jason,Alabama,China,26012,2023-12-17,Basic,Social Media
C000087,Michael,Rios,tlawson@example.org,485-893-7969x7298,"03595 Allen Branch Apt. 033, Antonioport, KY 88034",Mckenziechester,New Jersey,Bolivia,63493,2024-10-04,Standard,Organic
C000088,Sarah,Mckay,hermanmargaret@example.com,+1-561-512-7222x907,"PSC 1209, Box 7998, APO AP 09386",New Brooke,Kansas,Guinea-Bissau,04350,2023-08-21,Premium,Social Media
C000089,Christina,Torres,ebrown@example.net,598.966.9646x669,"944 Jessica Mission Apt. 501, North Jessemouth, SC 89323",Lake Ashley,Nebraska,France,14463,2024-08-01,Standard,Paid Search
C000090,Katelyn,Gay,craigtate@example.com,812-863-6436x3434,"19061 Richards Meadows, North Natasha, KS 51870",Jordanmouth,New Jersey,Botswana,07756,2023-08-24,Premium,Paid Search
C000091,Sydney,Lee,jeremy13@example.org,(344)408-4643x60878,"39286 Kayla Mountain Suite 042, East Krista, FM 45568",East David,Idaho,Iran,56535,2023-11-09,Basic,Organic
C000092,Keith,Farmer,taylor19@example.com,219.596.1548,"4744 Melinda Fort, Melissaland, LA 37476",New Frankville,Mississippi,Turkmenistan,35811,2024-01-02,Premium,Email
C000093,Samantha,Martinez,kramernancy@example.com,(251)806-4237x766,"248 Anthony Parkway, Jenniferstad, MS 02579",Apriltown,Kansas,Rwanda,43817,2024-10-24,Premium,Referral
C000094,Kathryn,Morrow,mary64@example.net,(210)679-5425x33422,"Unit 1135 Box 5035, DPO AP 79500",East Brandifort,Ohio,Serbia,89986,2023-10-02,Premium,Paid Search
C000095,Natalie,Reynolds,douglasmaddox@example.org,950.228.3825x89293,"6444 Stephenson Roads Apt. 781, East Joannatown, LA 58972",Christopherburgh,California,Bhutan,20194,2024-05-27,Basic,Email
C000096,Kimberly,Spencer,yorknicholas@example.com,001-755-825-7092x0417,"05801 Sloan Oval Apt. 576, Schultzburgh, ID 46127",Beltranfort,Alaska,Guatemala,36526,2024-12-24,Basic,Paid Search
C000097,Katie,Bennett,wvazquez@example.org,869-469-3605x183,"901 Nicole Junctions, Lake Amanda, VT 60488",North Gavin,California,Colombia,20672,2025-05-14,Standard,Referral
C000098,Diane,Powell,palmersarah@example.com,(589)747-9678,"461 Hannah Light Suite 528, Gregoryland, NV 68181",North Rachelville,Utah,Poland,20610,2025-01-20,Basic,Email
C000099,Tony,Austin,petersbrandon@example.org,+1-412-201-2428x3892,"61932 Bryan Islands Suite 044, South Richard, MI 18497",West Virginiaport,Washington,Germany,05504,2025-03-29,Premium,Referral
C000100,Alexander,Hood,anthonywilliams@example.com,+1-638-558-0691x184,"7998 Justin Forge Suite 314, Stevensborough, CO 06986",Huertatown,Kentucky,Cyprus,13346,2025-06-17,Basic,Paid Search
C000101,William,Evans,jbrown@example.com,929-239-0883,"99823 King Walk, Chavezland, FM 12679",Baxterstad,Connecticut,Norfolk Island,49992,2024-02-23,Basic,Social Media
C000102,James,Ayers,sheila60@example.com,+1-347-968-1495x3965,"8919 Higgins Wells, Carlburgh, AL 03044",East Kevinton,Michigan,Micronesia,09497,2025-01-25,Standard,Social Media
C000103,Whitney,Duffy,jamescalderon@example.com,822-594-6434,"5445 Rachel Path Apt. 058, East Brittanyview, LA 30148",West Michaelmouth,Texas,Sri Lanka,37529,2024-11-13,Standard,Referral
C000104,Luke,Mayer,heatherramirez@example.com,(321)479-1524,"872 Mason Knoll, Johnsonmouth, NY 51817",Clarkshire,Connecticut,Mauritius,68166,2024-07-29,Standard,Organic
C000105,Russell,Hardy,whitakerbrenda@example.com,001-938-616-8162x8242,"316 Michelle Trafficway Suite 345, Stephenport, IN 01947",Briannaport,Arizona,Georgia,72238,2025-02-03,Premium,Paid Search
C000106,Jessica,Johnson,jeffreysmith@example.org,+1-346-678-1795x458,"25650 Delgado Flats, West Melissabury, UT 94526",Antonioburgh,Oklahoma,Uzbekistan,62922,2023-09-04,Premium,Social Media
C000107,Brandi,Gomez,keithcooke@example.net,001-423-983-7060x694,"68772 Warner Island, Lake Matthewville, MD 04142",Kristenville,North Carolina,French Southern Territories,18697,2024-08-30,Premium,Referral
C000108,Justin,Turner,robertramirez@example.com,513-978-4003x0940,"0198 Kenneth Corners, Port Clayton, TN 03417",West Benjamin,Connecticut,Liechtenstein,63298,2023-10-09,Basic,Paid Search
C000109,Mariah,Wagner,wmiddleton@example.org,001-778-713-5922x50171,"6095 Michael Roads Apt. 658, Chelseaborough, CO 04729",Fostermouth,Missouri,Saint Barthelemy,75418,2024-09-07,Basic,Paid Search
C000110,Brian,Gutierrez,jeffrey75@example.org,403.406.0298x107,"11721 Phillips Mount, West Williamborough, OR 86221",Acostatown,Florida,Northern Mariana Islands,59370,2024-10-20,Premium,Organic
C000111,Jason,Schneider,markbyrd@example.org,628-869-2933x563,"6106 Brian Ways Apt. 252, Lake Pamela, MI 85839",South Lisashire,Massachusetts,American Samoa,80906,2025-03-14,Basic,Organic
C000112,Barbara,Stone,sawyergary@example.net,+1-782-505-9754x144,"4292 Santos Loop Suite 322, New Brandonchester, SD 07808",South Kathleenshire,California,Eritrea,94461,2024-05-22,Premium,Organic
C000113,Kevin,Brooks,xcochran@example.com,001-395-837-9651,"7031 Tracy Rapid, New Connieberg, VT 64194",Mendezville,Mississippi,Maldives,91176,2024-06-07,Premium,Social Media
C000114,Robert,Bonilla,anthonyrichardson@example.com,287-585-8499,"103 Bradley Radial Suite 391, East Gregoryside, IA 61722",Lake Sara,Minnesota,Hungary,46852,2024-10-06,Premium,Referral
C000115,Kimberly,Williams,kenneth64@example.com,(934)625-9991,"8980 Jake Heights, Cabreraport, DE 66934",West Michaelhaven,Michigan,Madagascar,44982,2024-12-15,Premium,Social Media
C000116,Lisa,Jordan,cblanchard@example.com,377.249.6933,"61603 Bradley Views Suite 098, Port Bethany, PW 26785",Lake Tracy,Idaho,Gabon,75984,2025-04-22,Basic,Email
C000117,Nicholas,Franklin,nsmith@example.org,3506836482,"42684 Brian Field, Lake Tamaraland, MH 91110",South Ericfort,Texas,Cyprus,77613,2025-06-15,Premium,Referral
C000118,Mackenzie,Craig,drojas@example.com,5474752016,"66731 Hall Parkways, Wrightshire, DE 69152",Hullmouth,Michigan,Australia,94930,2024-10-10,Premium,Referral
C000119,Jonathan,Guzman,richard93@example.com,(741)665-0923,"Unit 9610 Box 8312, DPO AE 36752",Lozanohaven,Virginia,Romania,57855,2025-03-16,Basic,Email
C000120,Bianca,Guerrero,andrewholland@example.com,+1-726-329-6367x58183,"8052 Gomez Keys Apt. 804, Port Johnmouth, AL 32306",Youngberg,Colorado,Heard Island and McDonald Islands,07916,2024-09-06,Premium,Email
C000121,Carol,Greer,aaron70@example.com,930-389-8045x9356,"16543 Johnson Mews, New Marilyn, WA 23385",Piercefort,Wisconsin,Belgium,70313,2025-02-01,Standard,Paid Search
C000122,Sean,Smith,erinlawrence@example.net,853.929.7945x20454,"6468 Catherine Mews, Brandonburgh, NC 35659",East Jeremy,Montana,Slovakia (Slovak Republic),05981,2024-02-08,Premium,Organic
C000123,Nathan,Campos,anthonydouglas@example.net,+1-338-550-6153x944,"7753 Parker Harbor, Fullerborough, AZ 32855",New Philipshire,New Jersey,Belgium,15962,2024-09-27,Basic,Email
C000124,Amy,Gonzalez,moniquejohnson@example.net,001-244-927-4202x5228,"5070 Day Bridge Apt. 832, Melissaside, MH 54992",Scottburgh,Connecticut,Bangladesh,30452,2023-10-31,Standard,Email
C000125,Chelsea,Davis,alexandra30@example.org,464-417-1188,"USNS Thomas, FPO AP 44405",Lake Teresa,Vermont,Australia,12708,2024-03-05,Standard,Email
C000126,Joseph,Ward,ericahill@example.net,(299)255-4017,"92368 Curry Island Apt. 332, South Royview, OH 39106",Martinezstad,Wyoming,Sri Lanka,96610,2025-01-16,Basic,Organic
C000127,Shelby,Dyer,bradley74@example.com,819-643-8975x8879,"6741 Courtney Garden, Cynthiaside, VT 61817",Lake Teresatown,Utah,Czech Republic,61309,2024-04-18,Basic,Organic
C000128,Cathy,Ramirez,hernandezandrea@example.net,370-233-6684x899,"4960 Armstrong Drive Suite 389, New Zacharymouth, OH 31575",Georgeborough,Maine,British Indian Ocean Territory (Chagos Archipelago),23787,2023-12-28,Premium,Email
C000129,Robert,Ball,alexis02@example.net,001-784-524-7249x827,"330 Cobb Shores, Evansshire, CO 19478",Flynnview,Kansas,Thailand,06298,2025-07-21,Basic,Social Media
C000130,Stephanie,Garcia,brownrachel@example.com,+1-208-572-9301,"5886 Karen Overpass, North Joseph, KY 99397",West Seanberg,Massachusetts,Sierra Leone,86203,2025-01-19,Premium,Paid Search
C000131,Wayne,Johnson,ograham@example.com,683.699.8918,"52205 Hector Flat, West Christine, UT 65329",Hamiltonport,Oregon,Mozambique,44449,2024-01-07,Premium,Paid Search
C000132,Richard,Snyder,lisacombs@example.org,001-767-378-2872x66138,"440 Taylor Parkways, New Aaronberg, KS 58721",Randallmouth,New Hampshire,Bangladesh,67308,2025-05-04,Basic,Email
C000133,Robert,Harvey,amber40@example.net,(395)417-4973,"491 Snyder Mountains, Millerchester, AR 10179",North Regina,New Jersey,Chad,48353,2025-01-29,Premium,Email
C000134,Monica,Yang,nicholas53@example.com,+1-968-309-0724x3072,"4439 Jeremy Lock, Blankenshipland, AK 97492",Garciamouth,New Mexico,Lao People's Democratic Republic,04507,2024-12-05,Premium,Social Media
C000135,John,Kim,deangina@example.org,935.682.6078x85983,"563 Tina Flat, Lake Stephenland, NC 99176",Benjaminshire,Kentucky,Norway,80998,2025-01-30,Standard,Paid Search
C000136,Sheri,Hays,joshua06@example.net,+1-437-980-3777x274,"164 Tran Way, Carrieton, SD 81203",New Josephtown,Alaska,Cook Islands,92972,2025-04-03,Premium,Email
C000137,Lauren,Griffin,derekhumphrey@example.org,438-530-3014x8850,"0340 Ethan Plain, West Terriberg, MA 39589",Port Jordanfurt,Pennsylvania,Macao,09109,2023-12-10,Basic,Organic
C000138,Becky,Ellis,hwest@example.org,(688)782-1463x1483,"11945 Julie Via Suite 188, Port Jamesburgh, WV 28104",East Steven,Mississippi,Greenland,34576,2025-03-15,Premium,Referral
C000139,Danny,Johnson,paige57@example.org,326.407.4848x9406,"779 Gray Court, West Tiffany, AZ 82725",Jenniferberg,Illinois,Samoa,87572,2024-05-11,Premium,Organic
C000140,Benjamin,Thornton,dperez@example.net,001-410-359-6772,"22923 Bryan Squares, North Aaronfurt, HI 45948",Tiffanyshire,Massachusetts,Australia,96595,2025-06-17,Premium,Paid Search
C000141,Joseph,Lynch,fpearson@example.com,001-616-698-1237x61025,"PSC 6706, Box 3730, APO AE 79950",South Matthew,New Jersey,Cameroon,67668,2024-11-17,Standard,Email
C000142,Amber,Ortiz,joseph77@example.org,+1-549-434-2005x86235,"7697 Richard Corner, South Kelseyhaven, WY 57607",Annaborough,Massachusetts,Guyana,38736,2023-12-29,Standard,Paid Search
C000143,Raymond,Fuentes,ttaylor@example.org,671-328-2540x1266,"8814 Barnes Place Suite 980, Seanhaven, MS 68376",Webbborough,Wisconsin,Chad,58995,2023-08-17,Standard,Organic
C000144,Yolanda,Miller,victorgarrett@example.org,383-704-8543x861,"51254 Calvin Fort, Millershire, NE 15042",West Sean,Nebraska,Malawi,29543,2024-03-03,Premium,Email
